Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xb78cf30b30c0	197	-	N/A	False	2020-11-11 08:13:00.000000 UTC	N/A	-	-	-
* 440	4	smss.exe	0xb78cf7aa1040	2	-	N/A	False	2020-11-11 08:13:00.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 2676	4	MemCompression	0xb78cfedcf040	154	-	N/A	False	2020-11-11 08:13:16.000000 UTC	N/A	MemCompression	-	-
* 100	4	Registry	0xb78cf32a8040	4	-	N/A	False	2020-11-11 08:12:57.000000 UTC	N/A	Registry	-	-
664	528	csrss.exe	0xb78cfa03b180	10	-	0	False	2020-11-11 08:13:13.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\WINDOWS\system32\csrss.exe
752	528	wininit.exe	0xb78cfa7a4080	3	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\wininit.exe	wininit.exe	C:\WINDOWS\system32\wininit.exe
* 840	752	lsass.exe	0xb78cfa25f280	9	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\lsass.exe	C:\WINDOWS\system32\lsass.exe	C:\WINDOWS\system32\lsass.exe
* 828	752	services.exe	0xb78cfa484080	7	-	0	False	2020-11-11 08:13:14.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\services.exe	C:\WINDOWS\system32\services.exe	C:\WINDOWS\system32\services.exe
** 4608	828	svchost.exe	0xb78cff7ad2c0	17	-	0	False	2020-11-11 08:13:19.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS	C:\WINDOWS\System32\svchost.exe
** 14852	828	svchost.exe	0xb78d0a05f080	6	-	0	False	2020-11-11 08:15:05.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s WebClient	C:\WINDOWS\system32\svchost.exe
